Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;V-Mag;NGC;IC;Common names
IC0001;**;00:08:27.05;+27:43:03.6;Peg;;;;;;;
IC0002;G;00:11:00.88;-12:49:22.3;Cet;0.98;0.32;142;;;;
IC0003;G;00:12:06.09;-00:24:54.8;Psc;0.93;0.67;53;;;;
IC0004;G;00:13:26.94;+17:29:11.2;Peg;1.17;0.84;12;;;;
IC0005;G;00:17:34.93;-09:32:36.1;Cet;0.99;0.66;9;;;;
IC0006;G;00:18:55.04;-03:16:33.9;Psc;1.23;1.08;146;;;;
IC0007;G;00:18:53.16;+10:35:40.9;Psc;0.90;0.63;174;;;;
IC0008;G;00:19:02.72;-03:13:19.5;Psc;0.82;0.34;129;;;;
IC0009;G;00:19:43.98;-14:07:18.8;Cet;0.59;0.46;122;;;;
IC0010;G;00:20:17.34;+59:18:13.6;Cas;6.76;6.03;129;9.50;;;
IC0011;Dup;00:52:59.35;+56:37:18.8;Cas;;;;;281;;
IC0012;G;00:20:15.05;-02:39:11.2;Psc;0.96;0.32;20;;;;
IC0013;G;00:20:20.09;+07:42:01.8;Psc;1.29;0.53;162;;;;
IC0014;**;00:22:31.29;+10:29:24.9;Psc;;;;;;;
IC0015;G;00:27:57.59;-00:03:40.6;Cet;0.44;0.38;91;;;;
IC0016;G;00:28:07.65;-13:05:38.1;Cet;0.58;0.32;62;;;;
IC0017;G;00:28:29.78;+02:38:55.0;Psc;0.67;0.54;102;;;;
IC0018;G;00:28:34.96;-11:35:12.1;Cet;1.08;0.41;29;;;;
IC0019;G;00:28:39.48;-11:38:26.8;Cet;0.79;0.67;30;;;;
IC0020;G;00:28:39.68;-13:00:37.1;Cet;0.91;0.77;18;;;;
IC0021;G;00:29:10.43;-00:09:49.6;Cet;0.49;0.45;6;;;;
IC0022;G;00:29:33.17;-09:04:50.7;Cet;0.81;0.44;45;;;;
IC0023;G;00:30:50.80;-12:43:12.9;Cet;0.85;0.77;20;;;;
IC0024;**;00:31:16.63;+30:50:21.5;And;;;;;;;
IC0025;G;00:31:12.09;-00:24:26.5;Cet;0.86;0.44;34;;;;
IC0026;Dup;00:31:45.94;-13:20:14.9;Cet;;;;;135;;
IC0027;G;00:33:06.24;-13:22:17.4;Cet;0.58;0.34;148;;;;
IC0028;G;00:33:08.72;-13:27:22.6;Cet;0.30;0.22;85;;;;
IC0029;G;00:34:10.80;-02:10:39.5;Cet;0.66;0.49;160;;;;
IC0030;G;00:34:14.72;-02:05:04.5;Cet;0.69;0.39;23;;;;
IC0031;G;00:34:24.63;+12:16:05.4;Psc;1.16;0.23;90;;;;
IC0032;G;00:35:01.69;-02:08:30.1;Cet;0.62;0.39;1;;;;
IC0033;G;00:35:05.16;-02:08:15.7;Cet;0.78;0.58;123;;;;
IC0034;G;00:35:36.42;+09:07:27.3;Psc;2.81;1.05;156;;;;
IC0035;G;00:37:39.88;+10:21:28.7;Psc;0.90;0.74;18;;;;
IC0036;G;00:37:49.65;-15:26:28.6;Cet;0.31;0.30;60;;;;
IC0037;G;00:38:34.18;-15:21:31.3;Cet;0.67;0.38;158;;;;
IC0038;G;00:38:38.76;-15:25:11.4;Cet;0.77;0.57;65;;;;
IC0039;Dup;00:39:08.40;-14:10:22.2;Cet;;;;;178;;
IC0040;G;00:39:21.40;+02:27:22.4;Cet;1.05;0.43;14;;;;
IC0041;G;00:39:40.37;-14:10:27.6;Cet;0.71;0.45;162;;;;
IC0042;G;00:41:05.84;-15:25:41.1;Cet;0.76;0.53;56;;;;
IC0043;G;00:42:22.06;+29:38:29.9;And;1.26;1.15;87;;;;
IC0044;Dup;00:42:15.88;+00:50:43.8;Cet;;;;;223;;
IC0045;Other;00:42:36.34;+29:39:18.9;And;;;;;;;
IC0046;G;00:42:57.97;+27:15:12.5;And;0.80;0.61;82;;;;
IC0047;G;00:42:55.01;-13:44:26.6;Cet;0.41;0.24;100;;;;
IC0048;G;00:43:34.47;-08:11:11.4;Cet;1.12;0.92;172;;;1577;
IC0049;G;00:43:56.13;+01:51:01.0;Cet;1.28;1.04;77;;;;
IC0050;G;00:46:05.71;-09:30:10.8;Cet;1.02;0.87;169;;;;
IC0051;G;00:46:24.22;-13:26:32.5;Cet;1.70;1.11;55;;;;
IC0052;G;00:48:23.78;+04:05:30.7;Psc;0.95;0.41;96;;;;
IC0053;G;00:50:40.77;+10:36:01.0;Psc;0.87;0.62;94;;;;
IC0054;**;00:50:46.85;-02:17:16.0;Cet;;;;;;;
IC0055;G;00:51:42.39;+07:43:06.7;Psc;0.55;0.28;175;;;;
IC0056;G;00:51:29.94;-12:50:39.5;Cet;0.82;0.74;116;;;;
IC0057;G;00:54:48.50;+11:50:28.3;Psc;1.03;0.96;10;;;;
IC0058;G;00:55:02.44;-13:40:41.1;Cet;0.84;0.50;105;;;;
IC0059;RfN;00:57:28.61;+61:08:37.2;Cas;10.00;5.00;;;;;
IC0060;G;00:56:04.23;-13:21:28.5;Cet;1.04;0.76;48;;;;
IC0061;G;00:57:07.20;+07:30:25.5;Psc;1.34;1.29;175;;;;
IC0062;G;00:58:43.94;+11:48:28.8;Psc;0.76;0.46;25;;;;
IC0063;HII;00:59:28.84;+60:54:42.1;Cas;10.00;3.00;;;;;
IC0064;G;00:59:24.42;+27:03:32.6;Psc;1.03;0.65;148;;;;
IC0065;G;01:00:55.42;+47:40:55.1;And;2.56;0.73;154;;;;
IC0066;G;01:00:32.50;+30:47:50.0;Psc;1.23;0.42;124;;;;
IC0067;NonEx;01:00:17.66;-06:54:38.7;Cet;;;;;;;
IC0068;NonEx;01:00:21.65;-06:56:38.8;Cet;;;;;;;
IC0069;G;01:01:23.66;+31:02:27.0;Psc;0.76;0.41;71;;;;
IC0070;G;01:01:03.95;+00:03:02.7;Cet;0.42;0.24;147;;;;
IC0071;*;01:01:19.26;-06:46:01.8;Cet;;;;;;;
IC0072;*;01:01:34.71;-06:46:40.6;Cet;;;;;;;
IC0073;G;01:04:52.95;+04:46:01.7;Psc;0.62;0.48;149;;;;
IC0074;G;01:05:55.95;+04:05:24.9;Psc;0.57;0.46;5;;;;
IC0075;G;01:07:11.61;+10:50:12.8;Psc;0.66;0.51;31;;;;
IC0076;G;01:08:11.71;-04:33:16.2;Cet;0.81;0.36;116;;;;
IC0077;G;01:08:43.75;-15:25:15.3;Cet;0.52;0.44;90;;;;
IC0078;G;01:08:47.70;-15:50:42.3;Cet;1.75;0.75;126;;;;
IC0079;G;01:08:49.71;-15:56:54.9;Cet;1.24;0.91;158;;;;
IC0080;GPair;01:08:50.90;-15:24:27.0;Cet;1.20;;;;;;
IC0080 NED01;G;01:08:50.70;-15:24:32.2;Cet;1.50;1.03;83;;;;
IC0080 NED02;G;01:08:51.13;-15:24:22.7;Cet;1.50;1.06;50;;;;
IC0081;G;01:09:22.26;-01:41:45.1;Cet;1.17;0.91;145;;;;
IC0082;G;01:09:05.79;-16:00:01.1;Cet;0.91;0.83;93;;;;
IC0083;G;01:10:29.78;+01:41:21.7;Cet;0.68;0.45;114;;;;
IC0084;G;01:11:25.60;+01:38:24.7;Cet;0.67;0.43;12;;;;
IC0085;*;01:11:49.55;-00:27:08.9;Cet;;;;;;;
IC0086;G;01:13:28.52;-16:14:30.0;Cet;0.72;0.34;142;;;;
IC0087;G;01:14:15.79;+00:45:55.2;Cet;0.69;0.63;66;;;;
IC0088;G;01:14:31.30;+00:47:30.3;Cet;0.53;0.44;129;18.07;;;
IC0089;Dup;01:16:03.61;+04:17:38.8;Psc;;;;;446;;
IC0090;G;01:16:30.35;-07:58:37.7;Cet;1.25;1.12;146;;;;
IC0091;G;01:18:39.43;+02:33:13.2;Cet;0.71;0.26;64;;;;
IC0092;Dup;01:19:48.50;+32:46:04.0;Psc;;;;;468;;
IC0093;G;01:19:02.34;-17:03:37.4;Cet;1.21;0.56;171;13.57;;1671;
IC0094;*;01:20:05.49;+32:43:02.4;Psc;;;;;;;
IC0095;G;01:19:17.88;-12:34:26.9;Cet;0.61;0.50;54;;;;
IC0096;G;01:20:33.22;+29:37:02.1;Psc;0.78;0.30;44;;;;
IC0097;Dup;01:20:02.00;+14:51:39.8;Psc;;;;;475;;
IC0098;G;01:20:54.88;-12:36:17.0;Cet;0.68;0.61;55;;;;
IC0099;G;01:22:27.36;-12:57:09.2;Cet;0.58;0.52;54;;;;
IC0100;G;01:22:53.96;-04:38:34.9;Cet;1.04;0.77;88;;;;
IC0101;G;01:24:08.55;+09:55:49.9;Psc;1.24;0.59;124;;;;
IC0102;G;01:24:26.33;+09:53:11.6;Psc;0.75;0.37;111;;;;
IC0103;G;01:24:36.44;+02:02:39.3;Cet;0.95;0.67;128;;;;
IC0104;**;01:24:33.60;-01:27:24.2;Cet;;;;;;;
IC0105;G;01:24:46.25;+02:04:31.0;Cet;0.58;0.29;47;;;;
IC0106;Dup;01:24:41.65;-01:35:13.5;Cet;;;;;530;;
IC0107;G;01:25:24.66;+14:51:52.6;Psc;1.62;1.31;6;;;1700;
IC0108;G;01:24:38.96;-12:38:08.1;Cet;1.30;0.36;4;;;;
IC0109;G;01:25:13.09;+02:03:58.4;Cet;0.76;0.57;70;;;;
IC0110;Other;01:25:46.60;+33:30:52.9;Psc;;;;;;;
IC0111;Other;01:26:00.13;+33:29:49.6;Psc;;;;;;;
IC0112;G;01:26:03.02;+11:26:34.7;Psc;0.72;0.37;127;;;;
IC0113;G;01:26:25.50;+19:11:31.1;Psc;0.35;0.26;160;;;;
IC0114;G;01:26:22.58;+09:54:35.8;Psc;1.40;0.56;154;;;;
IC0115;G;01:26:54.44;+19:12:52.9;Psc;0.76;0.76;80;;;;
IC0116;G;01:26:50.57;-04:58:56.2;Cet;0.87;0.56;125;;;;
IC0117;*;01:27:25.41;-01:51:36.7;Cet;;;;10.54;;;
IC0118;G;01:27:36.04;-04:59:50.9;Cet;0.72;0.55;31;;;;
IC0119;G;01:27:55.02;-02:02:25.7;Cet;1.19;0.58;77;;;;
IC0120;G;01:28:12.96;-01:54:55.9;Cet;0.92;0.33;138;;;;
IC0121;G;01:28:21.78;+02:30:46.9;Cet;1.00;0.62;108;;;;
IC0122;G;01:28:13.20;-14:50:20.0;Cet;0.65;0.32;14;;;;
IC0123;G;01:28:51.46;+02:26:47.2;Cet;0.67;0.47;44;15.21;;;
IC0124;*;01:29:09.08;-01:56:13.3;Cet;;;;;;;
IC0125;G;01:29:18.35;-13:16:47.4;Cet;0.61;0.59;53;;;;
IC0126;G;01:29:47.86;-01:59:01.5;Cet;0.89;0.81;30;;;;
IC0127;G;01:29:47.61;-06:58:48.2;Cet;1.69;0.45;110;9.20;;;
IC0128;G;01:31:23.87;-12:37:27.8;Cet;0.82;0.61;165;;;;
IC0129;G;01:31:31.26;-12:39:15.8;Cet;1.23;0.60;63;;;;
IC0130;G;01:31:28.74;-15:35:29.8;Cet;0.75;0.64;27;;;;
IC0131;HII;01:33:14.58;+30:45:11.7;Tri;0.30;;;;;;
IC0132;HII;01:33:15.92;+30:56:44.2;Tri;0.67;0.55;;14.82;;;
IC0133;HII;01:33:15.18;+30:53:18.2;Tri;0.45;0.45;;18.45;;;
IC0134;*;01:33:25.00;+30:54:02.4;Tri;;;;15.98;;;
IC0135;HII;01:34:15.53;+30:37:12.3;Tri;0.40;;;;;;
IC0136;*Ass;01:34:16.04;+30:33:43.4;Tri;;;;;;;
IC0137;*Ass;01:33:38.91;+30:31:21.0;Tri;;;;;;;
IC0138;G;01:33:01.98;-00:41:23.4;Cet;1.12;0.74;23;;;;
IC0139;*Ass;01:33:59.24;+30:34:02.8;Tri;;;;;;;
IC0140;*Ass;01:33:58.17;+30:33:00.5;Tri;;;;;;;
IC0141;G;01:32:51.71;-14:48:52.6;Cet;1.23;0.91;5;;;;
IC0142;HII;01:33:55.53;+30:45:28.1;Tri;0.50;;;14.20;;;
IC0143;HII;01:34:10.93;+30:46:35.1;Tri;0.30;;;;;;
IC0144;G;01:37:40.85;-13:18:52.8;Cet;0.74;0.67;46;;;;
IC0145;G;01:38:38.48;+00:44:29.4;Cet;0.69;0.50;6;;;;
IC0146;Dup;01:38:39.79;-17:49:52.3;Cet;;;;;648;;
IC0147;G;01:39:59.75;-14:51:45.5;Cet;0.76;0.42;58;;;;
IC0148;G;01:42:26.97;+13:58:37.3;Psc;1.82;0.57;45;;;;
IC0149;G;01:42:25.38;-16:18:01.5;Cet;1.27;0.41;82;;;;
IC0150;G;01:42:57.52;+04:12:00.6;Psc;0.88;0.50;137;;;;
IC0151;Other;01:43:57.47;+13:12:09.4;Psc;;;;;;;
IC0152;Other;01:44:07.39;+13:02:09.1;Psc;;;;;;;
IC0153;Other;01:44:36.21;+12:37:44.2;Psc;;;;;;;
IC0154;G;01:45:16.27;+10:38:57.1;Psc;1.19;0.23;66;;;;
IC0155;Other;01:47:32.33;+60:36:39.0;Cas;;;;;;;
IC0156;G;01:45:29.21;+10:33:09.8;Psc;1.51;1.33;105;;;;
IC0157;Other;01:45:42.40;+12:52:24.0;Psc;;;;;;;
IC0158;G;01:45:53.52;-06:56:08.5;Cet;0.70;0.53;140;;;;
IC0159;G;01:46:25.05;-08:38:11.8;Cet;1.35;0.75;28;;;;
IC0160;G;01:46:29.56;-13:14:51.8;Cet;1.28;0.86;85;;;;
IC0161;G;01:48:43.74;+10:30:28.4;Ari;0.90;0.54;67;;;;
IC0162;G;01:48:53.43;+10:31:17.8;Ari;1.32;1.28;85;;;;
IC0163;G;01:49:14.99;+20:42:40.7;Ari;1.62;0.73;90;;;;
IC0164;G;01:49:08.41;-03:54:15.8;Cet;1.58;1.35;167;;;;
IC0165;Dup;01:50:14.02;+27:38:44.4;Tri;;;;;684;;
IC0166;OCl;01:52:23.82;+61:51:09.4;Cas;7.50;;;11.70;;;
IC0167;G;01:51:08.56;+21:54:46.1;Ari;1.60;0.94;107;;;;
IC0168;G;01:50:27.63;-08:31:22.6;Cet;1.12;0.39;104;;;;
IC0169;G;01:50:39.36;-12:40:46.6;Cet;0.74;0.51;76;;;;
IC0170;G;01:51:57.52;-08:31:03.4;Cet;0.78;0.60;92;;;;
IC0171;G;01:55:10.21;+35:16:54.8;Tri;2.26;1.90;107;;;;
IC0172;G;01:54:54.23;+00:48:40.4;Cet;0.48;0.37;95;;;;
IC0173;G;01:55:57.15;+01:17:06.6;Cet;0.92;0.72;90;;;;
IC0174;G;01:56:16.08;+03:45:42.7;Psc;1.49;0.99;97;;;;
IC0175;G;01:56:18.86;+01:19:56.7;Cet;0.52;0.46;9;;;;
IC0176;G;01:56:53.40;-02:01:08.3;Cet;1.78;0.38;94;;;;
IC0177;G;01:57:00.58;-00:05:23.5;Cet;0.51;0.47;11;;;;
IC0178;G;01:58:54.87;+36:40:28.9;And;0.94;0.79;159;;;;
IC0179;G;02:00:11.50;+38:01:16.8;And;1.12;0.90;111;;;;
IC0180;G;02:00:00.41;+23:36:15.6;Ari;0.83;0.34;150;;;;
IC0181;G;02:00:02.33;+23:39:31.1;Ari;0.57;0.49;55;;;;
IC0182;G;01:59:51.81;+07:24:42.6;Psc;1.06;0.70;36;;;;
IC0183;G;01:59:34.05;-05:20:49.7;Cet;1.19;0.37;98;;;;
IC0184;G;01:59:51.23;-06:50:25.4;Cet;1.12;0.59;178;14.10;;;
IC0185;G;02:00:06.04;-01:31:42.0;Cet;0.79;0.33;82;;;;
IC0186;GTrpl;02:00:24.50;-01:33:06.2;Cet;1.10;;;;;;
IC0186A;G;02:00:24.00;-01:33:10.3;Cet;1.21;0.76;33;;;;
IC0186B;G;02:00:25.45;-01:32:59.3;Cet;0.69;0.47;0;;;;
IC0186 NED03;G;02:00:25.40;-01:33:03.0;Cet;;;;;;;
IC0187;G;02:01:30.76;+26:28:51.5;Ari;2.23;0.73;70;;;;
IC0188;G;02:01:46.50;+26:32:48.8;Ari;0.54;0.28;46;;;;
IC0189;G;02:01:52.91;+23:33:05.4;Ari;0.78;0.67;86;;;;
IC0190;G;02:02:07.28;+23:32:59.4;Ari;0.25;0.20;95;;;;
IC0191;Dup;02:02:29.33;+18:22:22.8;Ari;;;;;794;;
IC0192;G;02:02:32.39;+16:00:51.0;Ari;0.95;0.67;148;;;;
IC0193;G;02:02:30.98;+11:05:35.1;Ari;1.36;0.97;154;;;;
IC0194;G;02:03:05.22;+02:36:51.3;Psc;1.85;0.33;14;;;;
IC0195;G;02:03:44.61;+14:42:33.4;Ari;1.46;0.72;135;;;;
IC0196;G;02:03:49.80;+14:44:20.9;Ari;2.47;0.67;9;;;;
IC0197;G;02:04:04.93;+02:47:12.6;Psc;1.01;0.53;54;;;;
IC0198;G;02:06:03.12;+09:17:44.0;Cet;1.01;0.56;51;;;;
IC0199;G;02:06:19.40;+09:13:38.7;Cet;1.28;0.56;24;;;1778;
IC0200;G;02:05:26.64;+31:10:31.2;Tri;1.38;1.06;92;;;;
IC0201;G;02:07:15.29;+09:06:54.2;Cet;0.54;0.50;60;;;;
IC0202;G;02:07:28.66;+09:10:05.9;Cet;1.35;0.36;131;;;;
IC0203;G;02:07:29.65;+09:07:21.5;Cet;0.60;0.51;10;;;;
IC0204;G;02:07:27.08;-01:25:48.7;Cet;0.55;0.36;155;;;;
IC0205;G;02:07:27.43;-02:05:28.6;Cet;0.92;0.82;40;;;;
IC0206;G;02:09:30.68;-06:58:06.2;Cet;1.22;0.39;130;;;;
IC0207;G;02:09:39.35;-06:55:19.9;Cet;1.81;0.45;98;;;;
IC0208;G;02:08:27.74;+06:23:41.7;Cet;1.32;1.13;168;;;;
IC0209;G;02:08:58.71;-07:03:32.1;Cet;1.51;1.03;82;;;;
IC0210;G;02:09:28.28;-09:40:49.2;Cet;2.35;0.65;66;;;;
IC0211;G;02:11:08.00;+03:51:09.0;Cet;1.66;0.76;56;;;;
IC0212;G;02:13:38.26;+16:35:38.2;Ari;0.79;0.54;84;;;;
IC0213;G;02:14:04.28;+16:27:21.2;Ari;1.43;1.01;148;;;;
IC0214;G;02:14:05.59;+05:10:23.7;Cet;0.58;0.45;65;;;;
IC0215;G;02:14:09.46;-06:48:22.8;Cet;0.84;0.19;78;;;;
IC0216;G;02:15:55.52;-02:00:54.4;Cet;0.50;0.32;25;;;;
IC0217;G;02:16:10.44;-11:55:36.2;Cet;2.00;0.45;35;;;1787;
IC0218;G;02:17:07.25;+01:16:56.4;Cet;0.91;0.30;75;;;;
IC0219;G;02:18:38.83;-06:54:12.0;Cet;1.56;1.19;177;;;;
IC0220;G;02:19:11.73;-12:46:53.9;Cet;0.67;0.32;34;;;;
IC0221;G;02:22:40.90;+28:15:25.1;Tri;1.54;1.19;16;;;;
IC0222;G;02:22:47.85;+11:38:18.0;Ari;0.84;0.65;42;;;;
IC0223;G;02:22:01.10;-20:44:45.3;Cet;1.15;0.59;143;;;;
IC0224;G;02:24:45.14;-12:33:52.1;Cet;0.86;0.59;130;;;;
IC0225;G;02:26:28.29;+01:09:37.9;Cet;1.01;0.90;158;;;;
IC0226;G;02:27:45.93;+28:12:31.8;Tri;0.81;0.72;55;;;;
IC0227;G;02:28:03.61;+28:10:31.2;Tri;2.01;1.77;80;;;;
IC0228;Dup;02:26:41.53;-14:30:56.3;Cet;;;;;944;;
IC0229;Other;02:27:22.09;-23:48:46.8;Cet;;;;;;;
IC0230;G;02:28:47.29;-10:49:52.9;Cet;0.64;0.42;87;;;;
IC0231;G;02:29:56.39;+01:10:44.7;Cet;0.74;0.33;162;;;;
IC0232;G;02:31:11.62;+01:15:56.3;Cet;1.10;0.67;154;;;;
IC0233;G;02:31:40.70;+02:48:35.7;Cet;0.33;0.26;100;;;;
IC0234;G;02:31:37.72;-00:08:24.9;Cet;0.69;0.35;158;;;;
IC0235;G;02:32:50.79;+20:38:28.5;Ari;0.39;0.30;35;;;;
IC0236;G;02:32:55.81;-00:07:52.5;Cet;0.74;0.37;23;;;;
IC0237;G;02:33:31.57;+01:08:23.6;Cet;0.54;0.51;11;;;;
IC0238;G;02:35:22.68;+12:50:15.8;Ari;1.38;0.79;35;;;;
IC0239;G;02:36:27.88;+38:58:11.7;And;4.25;4.01;75;;;;
IC0240;Other;02:38:58.57;+41:43:09.9;Per;;;;;;;
IC0241;G;02:37:54.50;+02:19:40.9;Cet;0.90;0.59;152;;;;
IC0242;**;02:38:23.93;-06:56:02.2;Cet;;;;;;;
IC0243;G;02:38:32.16;-06:54:07.7;Cet;1.22;0.70;20;;;;
IC0244;G;02:39:24.73;+02:43:43.7;Cet;0.70;0.47;176;;;;
IC0245;G;02:38:54.64;-14:18:20.0;Cet;1.11;0.29;25;;;;
IC0246;G;02:40:28.60;+02:28:43.1;Cet;0.69;0.61;48;;;;
IC0247;G;02:40:08.78;-11:44:01.6;Cet;0.88;0.64;45;;;;
IC0248;G;02:41:25.83;+17:48:44.0;Ari;0.99;0.74;147;;;;
IC0249;Dup;02:41:02.49;-06:56:09.3;Cet;;;;;961;;
IC0250;G;02:40:54.27;-13:18:48.8;Cet;0.91;0.73;178;;;;
IC0251;G;02:41:13.85;-14:57:28.2;Cet;0.84;0.74;96;;;;
IC0252;G;02:41:45.13;-14:50:53.7;Cet;1.01;0.62;26;;;;
IC0253;G;02:42:05.75;-15:02:48.6;Cet;0.95;0.74;162;;;;
IC0254;G;02:42:04.98;-15:06:23.9;Cet;0.26;0.25;55;;;;
IC0255;G;02:47:03.21;+16:17:16.9;Ari;0.59;0.40;45;;;;
IC0256;G;02:49:40.30;+46:57:16.8;Per;0.46;0.29;30;;;;
IC0257;G;02:49:45.44;+46:58:34.3;Per;1.93;1.19;154;;;;
IC0258;G;02:49:46.10;+41:03:06.0;Per;1.48;1.23;170;;;;
IC0259;G;02:49:40.88;+41:03:18.4;Per;0.69;0.53;130;;;;
IC0260;G;02:51:00.88;+46:57:17.2;Per;1.53;0.75;170;;;;
IC0261;Dup;02:49:04.09;-14:28:14.5;Eri;;;;;1120;;
IC0262;G;02:51:43.27;+42:49:41.8;Per;2.10;1.74;36;;;;
IC0263;G;02:49:39.96;-00:04:11.5;Cet;0.65;0.44;168;;;;
IC0264;G;02:48:47.62;-00:06:33.1;Cet;0.50;0.37;28;16.88;;;
IC0265;G;02:54:43.98;+41:39:19.2;Per;0.71;0.63;60;;;;
IC0266;G;02:55:04.83;+42:15:44.4;Per;0.74;0.31;136;;;;
IC0267;G;02:53:50.25;+12:50:57.2;Ari;1.86;0.69;170;;;;
IC0268;G;02:55:26.95;-14:06:10.8;Eri;0.97;0.55;68;;;;
IC0269;G;02:55:26.49;-14:04:00.5;Eri;1.19;0.35;126;;;;
IC0270;G;02:55:44.19;-14:12:28.4;Eri;1.80;1.43;51;;;;
IC0271;G;02:55:59.45;-12:00:28.3;Eri;1.06;0.61;131;;;;
IC0272;G;02:56:06.44;-14:11:11.9;Eri;0.96;0.67;30;;;;
IC0273;G;02:57:10.78;+02:46:30.2;Cet;1.49;0.46;32;;;;
IC0274;Other;03:00:05.23;+44:12:47.4;Per;;;;;;;
IC0275;GTrpl;03:00:57.30;+44:20:54.0;Per;1.00;;;;;;
IC0275 NED01;G;03:00:55.87;+44:20:46.7;Per;;;;;;;
IC0275 NED02;G;03:00:55.90;+44:21:01.3;Per;1.38;1.20;25;;;;
IC0275 NED03;G;03:00:58.67;+44:21:00.6;Per;;;;;;;
IC0276;G;02:58:41.06;-15:42:11.2;Eri;1.67;0.61;62;;;;
IC0277;G;02:59:50.60;+02:46:16.9;Cet;1.00;0.89;44;15.50;;;
IC0278;G;03:01:30.44;+37:45:57.6;Per;2.17;2.17;125;;;;
IC0279;G;03:01:12.21;+16:12:33.2;Ari;0.54;0.45;166;;;;
IC0280;Other;03:03:03.61;+42:21:33.5;Per;;;;;;;
IC0281;Dup;03:04:37.13;+42:21:46.2;Per;;;;;1177;;
IC0282;Dup;03:06:13.24;+41:50:56.2;Per;;;;;1198;;
IC0283;G;03:03:50.46;-00:12:16.0;Cet;0.71;0.54;5;17.93;;;
IC0284;G;03:06:09.91;+42:22:18.9;Per;4.29;2.15;14;;;;
IC0285;G;03:04:06.22;-12:00:55.6;Eri;1.45;0.36;117;;;;
IC0286;Other;03:04:47.22;-06:29:04.3;Eri;;;;;;;
IC0287;G;03:04:57.82;-12:04:13.6;Eri;0.81;0.59;9;;;;
IC0288;G;03:07:32.91;+42:23:15.2;Per;1.01;0.28;41;;;;
IC0289;PN;03:10:19.26;+61:19:00.4;Cas;0.58;;;13.20;;;
IC0290;G;03:09:42.74;+40:58:27.2;Per;1.24;0.32;129;;;1884;
IC0291;G;03:07:26.45;-12:35:14.8;Eri;1.19;0.52;91;;;;
IC0292;G;03:10:12.92;+40:45:56.4;Per;1.19;0.65;73;;;1887;
IC0293;G;03:10:56.16;+41:08:13.6;Per;1.05;0.76;108;;;1888;
IC0294;G;03:11:03.11;+40:37:19.6;Per;1.49;1.17;106;;;1889;
IC0295;Other;03:11:00.74;+40:36:54.9;Per;;;;;;;
IC0296;Other;03:11:04.77;+40:37:36.7;Per;;;;;;;
IC0297;**;03:13:18.38;+42:08:55.6;Per;;;;;;;
IC0298;GPair;03:11:18.90;+01:18:53.0;Cet;0.80;;;;;;
IC0298A;G;03:11:18.50;+01:18:54.1;Cet;0.54;0.34;35;;;;
IC0298B;G;03:11:19.53;+01:18:48.2;Cet;0.43;0.33;5;;;;
IC0299;G;03:11:02.55;-13:06:34.5;Eri;0.87;0.68;30;;;;
IC0300;G;03:14:16.02;+42:24:55.2;Per;0.65;0.60;115;;;;
IC0301;G;03:14:47.71;+42:13:21.5;Per;1.26;1.11;177;;;;
IC0302;G;03:12:51.27;+04:42:25.3;Cet;1.84;1.20;22;13.00;;;
IC0303;G;03:12:40.87;-11:41:23.8;Eri;0.59;0.46;47;;;;
IC0304;G;03:15:01.37;+37:52:54.6;Per;1.06;0.65;29;;;;
IC0305;G;03:15:03.80;+37:51:36.0;Per;0.79;0.64;74;;;;
IC0306;G;03:13:00.21;-11:42:56.5;Eri;0.71;0.58;79;;;;
IC0307;G;03:13:45.21;-00:14:29.2;Cet;1.60;0.60;67;;;;
IC0308;G;03:16:15.83;+41:10:50.7;Per;1.16;0.93;4;;;;
IC0309;G;03:16:06.29;+40:48:16.4;Per;1.02;0.95;30;;;;
IC0310;G;03:16:42.98;+41:19:29.9;Per;1.50;1.42;25;;;;
IC0311;G;03:16:46.73;+40:00:13.0;Per;1.00;1.00;100;;;;
IC0312;G;03:18:08.61;+41:45:14.8;Per;1.19;0.57;125;;;;
IC0313;G;03:20:57.90;+41:53:37.8;Per;1.26;0.87;42;;;;
IC0314;Dup;03:18:49.81;-01:58:24.0;Eri;;;;;1289;;
IC0315;G;03:19:09.34;+04:02:18.8;Cet;0.68;0.33;45;;;;
IC0316;GPair;03:21:19.90;+41:55:50.0;Per;0.80;;;;;;
IC0316 NED01;G;03:21:19.95;+41:55:44.2;Per;0.45;0.17;116;;;;
IC0316 NED02;G;03:21:19.90;+41:55:54.9;Per;1.06;0.79;64;;;;
IC0317;G;03:18:55.51;-12:44:24.7;Eri;0.88;0.71;58;;;;
IC0318;G;03:20:43.83;-14:34:05.6;Eri;1.08;0.45;134;;;;
IC0319;*;03:23:29.05;+41:24:58.9;Per;;;;;;;
IC0320;G;03:25:59.18;+40:47:20.5;Per;1.12;0.91;99;;;;
IC0321;G;03:24:29.59;-14:59:07.7;Eri;1.03;0.95;25;;;;
IC0322;G;03:26:00.47;+03:40:50.0;Tau;0.76;0.38;6;;;;
IC0323;Other;03:29:33.55;+41:51:18.3;Per;;;;;;;
IC0324;Dup;03:26:28.29;-21:21:19.1;Eri;;;;;1331;;
IC0325;G;03:30:48.86;-07:02:48.2;Eri;0.83;0.74;80;;;;
IC0326;G;03:30:36.61;-14:25:32.0;Eri;1.13;0.84;101;;;;
IC0327;G;03:31:09.98;-14:41:31.7;Eri;0.80;0.47;70;;;;
